Resistance ,"Grid currents _A,B,C phases",,,"Rotor currents A,B,C phases",,,"Stator currents A,B,C phases",,,"Grid voltages A,B,C phases",,,Grid Powers,,Rotor Powers,,Stator Powers,,Class.
R,i25a,i25b,i25c,ira,irb,irc,isa,isb,isc,v25a,v25b,v25c,pg,qg,pr,qr,ps,qs,Target
25,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
30,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
35,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
40,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
45,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
50,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
55,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
60,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
65,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
70,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
75,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
